,Questions
0,Can we implement multiple interfaces in a single Java class
1,. Tell me a time where you had a difficult client and how you dealt with it
2,. Differentiate between class and structure in C++
3,.What are the access specifiers in C++
4,".Why we use of ""getch()"" in a program"
5,. Differentiate between CHAR and VARCHAR2
6,.Differentiate between DELETE and TRUNCATE command in SQL
7,.What is DML command in DBMS
8,.Why do we use DBMS
9,".Differentiate between ""Hot Backup"" and ""Cold Backup"" in the database"
10,. What are your goals for the next five years
